Tên nhóm hàng,Tên NPP,KM GPS có hàng,Thời gian vận chuyển (giờ)
"Monorock, RE Sugar, Diet Sugar, Organic Sugar, Juice, Natural Rock, Functional Sugar, Plant-based Milk, Brown Sugar, RS Sugar","CÔNG TY TNHH DỊCH VỤ EB, CÔNG TY TNHH CJ CGV VIỆT NAM - CHI NHÁNH ĐỒNG NAI, CÔNG TY TNHH THỰC PHẨM SỐNG XANH DONA",24.33831905,716.8
"Brown Sugar, RS Sugar, Invert Syrup","CÔNG TY TNHH TMDV HẢI VÂN FOOD, CÔNG TY TNHH THỰC PHẨM TÂM MINH",50.32300106,5.416666666666667
"RE Sugar, RS Sugar, Juice, Caramelized, Functional Sugar, Diet Sugar, Brown Sugar, Natural Rock, Monorock, Invert Syrup, Organic Sugar","CÔNG TY TNHH TRAN - Q, CÔNG TY TNHH DỊCH VỤ EB",34.96955822,6.466666666666667
"Functional Sugar, Invert Syrup, Coconut Cooking Cream, Juice, RE Sugar","CÔNG TY TNHH CRAFTSMANSHIP, CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI PHƯƠNG KIM, CHI NHÁNH VŨNG TÀU - CÔNG TY CỔ PHẦN CAFÉ KATINAT",4.460264465,9.133333333333333
RS Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,2994.318917,5144.166666666667
RS Sugar,CHI NHÁNH CÔNG TY CỔ PHẦN SỮA QUỐC TẾ LOF - NHÀ MÁY SỮA LOF BÌNH DƯƠNG,86.64590213,763.7166666666667
RE Sugar,CÔNG TY CỔ PHẦN ACECOOK VIỆT NAM,3424.391482,5153.533333333334
RE Sugar,CÔNG TY TNHH MTV MASAN HG,218.1105604,753.9666666666667
"Brown Sugar, RS Sugar, RE Sugar, Coconut Cooking Cream, Organic Sugar, Functional Sugar, Monorock, Juice",CHI NHÁNH CẦN THƠ - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,312.4338702,759.7333333333333
"RE Sugar, Sugarcane Drinking Water, Monorock, RS Sugar, Functional Sugar, Coconut Cooking Cream, Brown Sugar","CÔNG TY CỔ PHẦN JW EUVIPHARM, CÔNG TY TNHH TRƯỜNG AN PHÚ LONG",104.3581424,754.3666666666667
RE Sugar,"CÔNG TY TNHH PURATOS GRAND-PLACE VIỆT NAM, CÔNG TY TNHH DENEAST VIỆT NAM",150.0648562,755.25
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,419.5702271,755.9
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,423.1993499,752.7833333333333
RE Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,6543.038262,1214.7166666666667
"Brown Sugar, RS Sugar, RE Sugar, Functional Sugar, Juice, Organic Sugar, Monorock, Coconut Cooking Cream","CHI NHÁNH HẢI PHÒNG - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE, CÔNG TY TNHH CJ CGV VIỆT NAM - CHI NHÁNH HẢI PHÒNG 3",157.0558503,762.85
"RE Sugar, RS Sugar","CÔNG TY CỔ PHẦN THỰC PHẨM GN, CHI NHÁNH CÔNG TY TNHH JOLLIBEE VIỆT NAM TẠI CẦN GIUỘC",58.91971763,757.8166666666667
RE Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM VÀ NƯỚC GIẢI KHÁT NAM VIỆT,421.5522624,754.0333333333333
RE Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM CHOLIMEX,41.63804943,761.2666666666667
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,97.79167414,756.6666666666666
RE Sugar,CÔNG TY TNHH URC VIỆT NAM,94.97928098,754.2833333333333
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,48.47710992,604.65
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,3455.717222,920.2
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,0.0747937,1.0
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,0.0747937,1.0
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,0.0747937,1.0
RS Sugar,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI HƯNG AN NAM,174.5213979,6.966666666666667
"Functional Sugar, Coconut Cooking Cream, Monorock, Juice, RE Sugar",CÔNG TY CỔ PHẦN BÁNH GIVRAL,136.15129,744.0
RE Sugar,CÔNG TY TNHH CPV FOOD,87.12449474,5.366666666666666
